id_curso;nome_curso
1;Gestão Da Tecnologia Da Informação
2;Banco De Dados
3;Abi - Ciência Da Computação
4;Desenvolvimento De Software Multiplataforma
5;Análise E Desenvolvimento De Sistemas
6;Interdisciplinar Em Tecnologia Da Informação - Bi/Li
7;Sistemas De Informação
8;Engenharia De Computação
9;Ciências Da Computação
10;Computação Em Nuvem
11;Segurança Da Informação
12;Análise E Desenvolvimento De Sistemas Do Programa Ams
13;Engenharia De Software
14;Tecnologia Em Desenvolvimento De Software Multiplataforma
15;Tecnologia Da Informação Para Negócios Digitais
16;Engenharia Da Computação
17;Ciências De Computação
18;Engenharia Elétrica  - Ênfase Em Computação
19;Engenharia Eletrônica E De Computação
20;Redes De Computadores
21;Internet Das Coisas E Computação Em Nuvem
22;Engenharia De Computação E Informação
23;Segurança Da Informação E Defesa Cibernética
24;Ciência Da Computação
25;Computação E Robótica Educativa
26;Matemática Aplicada E Computação Científica
27;Banco De Dados E Armazenamento De Big Data
28;Sistemas De Computação
29;Computação E Informática
30;Sistemas Para Internet
31;Computação Gráfica
32;Tecnologia Da Informação
33;Computação
34;Desenvolvimento De Sistemas
35;Agrocomputação
36;Interdisciplinar Em Matemática E Computação E Suas Tecnologias
