id_indicador;id_estado;id_curso;qt_ing_fem;qt_ing_masc;qt_mat_fem;qt_mat_masc;qt_conc_fem;qt_conc_masc
1;6;24;14;76;78;442;7;21
2;6;33;22;72;66;362;3;20
3;6;8;14;71;68;410;2;18
4;6;13;0;2;199;989;12;69
5;6;24;8;23;8;23;0;0
6;6;13;8;25;9;39;0;0
7;6;1;13;21;20;51;9;15
8;6;7;11;25;16;44;0;0
9;6;5;27;155;17;105;0;15
10;6;24;15;51;17;80;3;14
11;6;1;1;8;0;1;0;1
12;6;5;82;271;122;489;12;45
13;6;5;13;40;12;40;0;0
14;6;24;54;233;120;520;9;27
15;6;13;73;278;146;680;7;51
16;6;5;76;420;125;621;43;145
17;6;24;58;234;83;562;8;40
18;6;13;28;119;23;99;0;0
19;6;7;16;47;38;116;4;16
20;6;5;39;136;48;215;4;38
21;6;5;33;198;58;309;14;47
22;6;24;23;137;34;294;3;25
23;6;8;9;62;17;136;0;12
24;6;5;13;51;12;62;0;0
25;6;7;7;28;12;60;0;5
26;6;5;14;66;26;116;10;33
27;6;1;1;14;1;11;0;0
28;6;5;34;190;71;412;19;104
29;6;24;7;47;11;94;0;16
30;6;20;0;2;0;4;0;3
31;6;5;65;235;106;391;15;61
32;6;13;48;272;69;456;3;21
33;6;7;0;1;4;20;1;8
34;6;5;23;155;61;373;11;53
35;6;5;30;151;64;402;14;89
36;6;24;33;201;61;525;3;50
37;6;24;12;90;35;342;4;52
38;6;8;5;44;23;158;4;27
39;6;5;34;176;41;234;8;35
40;6;5;40;122;26;88;0;0
41;6;5;8;43;5;25;0;0
42;6;13;0;1;0;5;0;5
43;6;1;10;20;3;11;0;0
44;6;7;11;37;20;116;1;14
45;6;5;11;53;8;65;0;7
46;6;7;6;25;4;33;0;0
47;6;7;2;5;2;21;0;7
48;6;5;8;12;19;108;3;16
49;6;7;0;0;2;31;1;7
50;6;5;9;68;15;78;0;5
51;6;24;9;29;12;57;0;0
52;6;13;6;40;6;64;0;0
53;6;7;0;0;4;2;0;0
54;6;5;1;2;1;2;0;0
55;6;1;3;2;3;2;0;0
56;6;5;23;49;22;57;0;0
57;6;5;0;0;5;25;0;4
58;6;5;98;346;122;485;24;70
59;6;1;15;48;49;108;25;48
60;6;11;10;62;19;92;9;27
61;6;3;15;48;32;102;0;0
62;6;24;0;1;6;57;0;15
63;6;33;0;0;3;9;1;0
64;6;30;24;41;101;236;11;19
65;6;5;56;269;94;476;24;106
66;6;2;0;8;3;12;1;4
67;6;9;6;38;7;56;1;1
68;6;33;0;0;0;1;0;0
69;6;13;5;15;6;26;0;2
70;6;1;29;57;39;123;8;37
71;6;20;0;18;1;33;0;10
72;6;7;1;11;7;32;4;10
73;6;30;1;2;1;5;0;1
74;6;5;208;784;266;1107;52;178
75;6;2;8;30;12;42;2;6
76;6;24;31;124;37;193;3;9
77;6;10;1;8;0;4;0;0
78;6;8;2;26;9;67;0;8
79;6;13;6;69;7;104;1;2
80;6;1;96;147;126;227;16;38
81;6;20;6;55;7;80;2;18
82;6;11;9;19;8;28;0;1
83;6;7;15;42;20;68;1;8
84;6;30;2;6;0;9;0;1
85;6;5;151;713;158;795;17;106
86;6;9;10;53;9;35;0;0
87;6;10;3;12;1;12;0;2
88;6;8;3;16;2;10;0;0
89;6;13;30;114;29;126;1;7
90;6;1;63;158;46;141;3;15
91;6;20;2;36;5;50;2;14
92;6;11;8;22;4;8;0;0
93;6;7;17;39;11;35;0;0
94;6;30;0;3;0;6;0;0
95;6;5;42;177;78;247;24;65
96;6;24;3;19;5;30;0;1
97;6;1;29;54;42;93;14;32
98;6;20;1;16;1;18;0;2
99;6;11;6;19;9;37;2;4
100;6;5;0;1;0;1;0;0
101;6;5;4;6;8;23;3;7
102;6;2;0;0;0;1;0;0
103;6;24;0;1;0;3;0;1
104;6;13;0;3;0;4;0;0
105;6;1;0;3;1;6;1;1
106;6;20;0;0;0;1;0;0
107;6;11;0;2;0;4;0;0
108;6;30;0;0;0;1;0;0
109;6;5;5;20;15;59;3;15
110;6;24;2;8;12;26;1;3
111;6;8;0;0;0;4;0;1
112;6;1;1;8;5;16;3;3
113;6;21;0;0;0;1;0;1
114;6;20;0;0;1;6;0;2
115;6;11;1;3;4;6;0;0
116;6;7;0;3;1;18;0;3
117;6;30;0;2;0;3;0;1
118;6;5;1;9;2;10;0;1
119;6;13;0;0;0;2;0;0
120;6;1;0;0;2;2;0;0
121;6;5;0;0;0;3;0;1
122;6;1;0;0;1;0;1;0
123;6;5;112;284;99;350;11;41
124;6;2;7;23;2;15;0;0
